DBA,BORO,CUISINE DESCRIPTION,GRADE,address_full,lat,long,VIOLATION CODE
QUEENS COMFORT,QUEENS,American,Z,3618 30TH AVE 11103.0,40.76456629999999,-73.9168652,6
R & J CARIBBEAN RESTAURANT,BROOKLYN,Caribbean,Z,1210 FLATBUSH AVE 11226.0,40.6406771,-73.9561533,9
RAI RAI KEN,MANHATTAN,Japanese,A,1467 AMSTERDAM AVE 10027.0,40.8170676,-73.9532886,2
RAJDHANI INDIAN RESTUARANT,QUEENS,Indian,A,20608 HILLSIDE AVENUE 11427.0,0.0,0.0,3
RAKU IT'S JAPANESE II,MANHATTAN,Japanese,Z,57 WEST   76 STREET 10023.0,40.7800348,-73.9764946,7
RAMONA,BROOKLYN,American,A,113 FRANKLIN ST 11222.0,40.7301625,-73.95793470000001,2
RANDOLPH BEER,MANHATTAN,American,A,343 BROOME STREET 10013.0,40.7195958,-73.9948655,3
RARE VIEW ROOFTOP,MANHATTAN,American,A,152 WEST   26 STREET 10001.0,40.7455256,-73.9937621,3
RAVAGH PERSIAN GRILL,MANHATTAN,Middle Eastern,A,1135 1ST AVE 10065.0,40.7618544,-73.960619,3
"RBQ BAR, RESTAURANT AND MARKET",QUEENS,Barbecue,B,9720 ROCKAWAY BEACH BLVD 11693.0,40.584800099999995,-73.81946020000001,4
REAZON CAFE & LOUNGE,BROOKLYN,Other,A,1897 CONEY ISLAND AVE 11230.0,40.61107459999999,-73.9623065,3
RED HOOK LOBSTER POUND,BROOKLYN,Seafood,A,284 VAN BRUNT ST 11231.0,40.6797578,-74.0103105,2
RED HOT II,BROOKLYN,Chinese,Z,349 7TH AVE 11215.0,40.666106899999996,-73.9819584,4
RED LOBSTER,QUEENS,Seafood,Z,8801 QUEENS BLVD 11373.0,40.73571810000001,-73.87444980000001,4
RED LOTUS BAKERY & CAFE,QUEENS,Bakery,Z,25507 NORTHERN BOULEVARD 11362.0,40.772295,-73.7344411,4
REENCUENTRO RESTAURANT,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,412 45TH ST 11220.0,47.6613852,-122.34262,2
REGO PARK COFFEE SHOP,QUEENS,American,A,9414 63RD DR 11374.0,40.7289403,-73.86273609999998,1
REMEDY LOUNGE & CAFE,QUEENS,Mediterranean,A,25209 UNION TPKE 11426.0,40.7439054,-73.7183075,2
REMI,MANHATTAN,Italian,Z,145 WEST   53 STREET 10019.0,40.7626161,-73.9808068,5
RESOBOX,MANHATTAN,Japanese,Z,91 E 3RD ST 10003.0,40.72482279999999,-73.9877012,0
RESORTS WORLD CASINO BAR,BROOKLYN,"Bottled beverages, including water, sodas, juices, etc.",A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,2
RICE THAI,BROOKLYN,Thai,Z,311 7TH AVE 11215.0,40.6672762,-73.9810057,5
RICH VILLAGE RESTAURANT,BROOKLYN,Chinese,A,6009 7 AVENUE 11220.0,0.0,0.0,4
RICHER'S BAKERY & CAFE,QUEENS,Bakery,Z,249-14 HORACE HARDING EXPRESSWAY 11362.0,40.7605317,-73.73101729999998,6
RICHIE RICH CARIBBEAN TASTE,QUEENS,Caribbean,Z,9416 JAMAICA AVE 11421.0,40.693994700000005,-73.85063939999998,5
RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,American,A,135 FLAGG PLACE 10304.0,40.5884133,-74.1050011,4
RICHMOND COUNTY COUNTRY CLUB - POOL SNACK BAR,STATEN ISLAND,American,A,135 FLAGG PLACE 10304.0,40.5884133,-74.1050011,1
RICO CHIMI BROOKLYN,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,2928 ATLANTIC AVE 11207.0,40.677257899999994,-73.88628229999998,5
RICO POLLO #1,QUEENS,Spanish,Z,5537 MYRTLE AVE 11385.0,40.7001677,-73.9072855,5
RIMINI PASTRY SHOPPE,BROOKLYN,Bakery,Z,6822 BAY PARKWAY 11204.0,40.6117698,-73.98389820000001,5
RINCON SALVADORENO RESTAURANT,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,9215 149 STREET 11435.0,40.8149146,-73.9148828,4
RIO GRANDE BBQ,QUEENS,Brazilian,A,3702 BROADWAY 11103.0,40.7594917,-73.92061740000001,2
RIPPERS,QUEENS,American,A,8601 SHORE FRONT PKWY 11693.0,40.5843999,-73.8118892,2
RITA,BROOKLYN,American,A,293 VAN BRUNT ST 11231.0,40.6787159,-74.0110388,2
RIVER JAPANESE CUISINE,QUEENS,Japanese,A,3718 MAIN ST 11354.0,29.738226899999997,-95.3800095,2
RIVERDALE SECOND HELPING,BRONX,Jewish/Kosher,A,3532 JOHNSON AVENUE 10463.0,40.8861813,-73.9094934,1
ROAST N CO,QUEENS,Caf̩/Coffee/Tea,Z,10012 QUEENS BLVD 11375.0,40.72651219999999,-73.8535661,5
ROASTING PLANT,MANHATTAN,Caf̩/Coffee/Tea,A,81 ORCHARD STREET 10002.0,40.71775239999999,-73.99057499999998,2
ROCCO PIZZA III,BROOKLYN,American,A,330 HALSEY STREET 11216.0,40.6826961,-73.94065359999998,2
ROCK CENTER CAFE,MANHATTAN,American,Z,610 5 AVENUE 10020.0,40.7582432,-73.97801640000002,6
ROCKAWAY BEACH BAKERY,QUEENS,Bakery,A,8710 ROCKAWAY BEACH BLVD 11693.0,40.58760059999999,-73.8126198,1
ROCKWAY BEACH CLUB,QUEENS,American,A,9701 SHORE FRONT PKWY 11693.0,40.58298610000001,-73.8178538,2
ROEBLING PIZZA,BROOKLYN,Pizza/Italian,A,326 ROEBLING ST 11211.0,40.70855299999999,-73.9611011,1
ROEY'S,MANHATTAN,Italian,A,1 PERRY ST 10014.0,40.7359857,-74.00098919999998,1
ROKHAT RESTAURANT,QUEENS,Russian,A,6535 AUSTIN ST 11374.0,40.7260015,-73.859545,1
ROLEN BAGEL,BRONX,Bagels/Pretzels,A,3601 RIVERDALE AVE 10463.0,40.8866624,-73.9072364,1
ROLLERJAM USA,STATEN ISLAND,American,A,236 RICHMOND VALLEY ROAD 10309.0,40.5204651,-74.23682420000002,2
ROLLING COW,STATEN ISLAND,"Ice Cream, Gelato, Yogurt, Ices",Z,2655 RICHMOND AVE 10314.0,40.5811995,-74.16476639999998,3
ROMA VIEW CATERING,QUEENS,American,A,16005 CROSS BAY BOULEVARD 11414.0,40.6572922,-73.83901170000001,2
ROPES & GRAY CAFE,MANHATTAN,American,A,1211 AVENUE OF THE AMERICAS 10036.0,40.758678,-73.9824059,1
ROSA'S PIZZA & PASTA,QUEENS,Pizza/Italian,A,7559 METROPOLITAN AVENUE 11379.0,40.7133121,-73.87542140000001,2
ROSARIO DELI,QUEENS,Delicatessen,Z,2255 31 STREET 11105.0,40.77479719999999,-73.91187359999998,5
ROSARIO'S IHAWAN,QUEENS,Filipino,A,4009 69TH ST 11377.0,40.746009,-73.895966,3
ROSEBANK TAVERN,STATEN ISLAND,American,A,1258 BAY STREET 10305.0,40.6125132,-74.065147,2
ROSEMARY'S BAKERY AND JUICE BAR,BRONX,Bakery,A,1926 CROSS BRONX EXPY 10472.0,40.8324539,-73.8592963,2
ROTI MEDITERRANEAN GRILL,MANHATTAN,Mediterranean,Z,100 MAIDEN LANE 10038.0,40.7066745,-74.0071976,0
ROTI PARADISE,QUEENS,Caribbean,Z,21151 JAMAICA AVE 11428.0,40.7157192,-73.74774409999998,4
ROY'S RESTAURNT & BAR,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,880 EAST TREMONT AVE 10460.0,40.842736200000004,-73.88595500000001,5
RUCHI INDIAN CUISINE,MANHATTAN,Indian,A,120 CEDAR STREET 10006.0,40.709528999999996,-74.01270199999998,3
RUE 57,MANHATTAN,French,A,60 WEST   57 STREET 10019.0,40.764033399999995,-73.97702190000001,4
RULAY LOUNGE BAR & RESTAURANT,BRONX,Spanish,A,2959 WEBSTER AVE 10458.0,40.8677196,-73.88321090000001,3
RUSTIC TABLE,MANHATTAN,Mediterranean,A,500 W 42ND ST 10036.0,40.759498,-73.99585520000001,1
Rincon Melania's,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,3511 QUEENS BLVD 11101.0,40.7448586,-73.9291448,2
"S,T COFFEE",BROOKLYN,Caf̩/Coffee/Tea,A,343 TOMPKINS AVE 11216.0,40.686026700000006,-73.94429000000001,3
SABAI,MANHATTAN,Thai,A,432 PARK AVE S 10016.0,40.74429870000001,-73.9836641,2
SABI SUSHI,MANHATTAN,Japanese,A,1 NEW YORK PLZ 10004.0,40.7020841,-74.0118801,3
SABOR RESTAURANT & BAKERY,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,1520 COLLEGE POINT BLVD 11356.0,40.7836286,-73.8459611,4
SAFFRON,QUEENS,Indian,A,4404 BROADWAY 11103.0,40.7572223,-73.9157142,1
SAFIR BAKERY & CAFE,BROOKLYN,Caf̩/Coffee/Tea,A,1803 KINGS HWY 11229.0,40.6102218,-73.95548749999998,3
SAGAPONACK,MANHATTAN,Seafood,A,4 W 22ND ST 10010.0,40.740942600000004,-73.9907772,2
SAGAR CHINESE,QUEENS,Chinese,Z,25205 UNION TURNPIKE 11426.0,40.7438849,-73.71838690000001,5
SAI GON DEP,MANHATTAN,Asian,A,719 2ND AVE 10016.0,40.747781200000006,-73.97401579999999,2
SAIDY'S CAFE,QUEENS,Caf̩/Coffee/Tea,A,5825 LITTLE NECK PKWY 11362.0,40.761415899999996,-73.722511,2
SAIGON SHACK,MANHATTAN,Vietnamese/Cambodian/Malaysia,A,114 MACDOUGAL STREET 10012.0,40.7296665,-74.00057129999998,2
SAJHOMA RESTAURANT,BROOKLYN,Spanish,A,408 NEW LOTS AVE 11207.0,40.6619739,-73.89236059999999,3
SAKURA 4,QUEENS,Japanese,A,6419 MYRTLE AVE 11385.0,40.7012199,-73.8917737,3
SAL'S PIZZA,QUEENS,Italian,Z,2007 127 STREET 11356.0,40.781504999999996,-73.8408955,5
SALAAM BOMBAY,MANHATTAN,Indian,A,319 GREENWICH STREET 10013.0,40.717044,-74.010526,4
SALSA ZONE,BRONX,American,A,370 E 146TH ST 10455.0,40.814177,-73.91986,1
SALTY DOG RESTAURANT,BROOKLYN,American,A,7509 3 AVENUE 11209.0,40.6310817,-74.0276485,2
SALTY STEW,QUEENS,Chinese,Z,4010 UNION ST 11354.0,0.0,0.0,5
SALVATORE AND LLOYD'S PIZZA,STATEN ISLAND,Pizza,A,3850 RICHMOND AVENUE 10312.0,40.543882700000005,-74.16520229999998,1
SAMIR RESTAURANT,BROOKLYN,Indian,A,696 CONEY ISLAND AVE 11218.0,40.6405532,-73.9693662,3
SAMMI SWEETZ,STATEN ISLAND,Bakery,A,128 ROSE AVE 10306.0,40.5734248,-74.1182725,1
SAMMY'S FISHBOX,BRONX,Seafood,A,41 CITY ISLAND AVE 10464.0,40.8389975,-73.7836556,1
SAMUEL FRIEDMAN THEATRE,MANHATTAN,American,A,261 W 47TH ST 10036.0,40.760379,-73.98672499999998,2
SAN MATTEO PIZZERIA E CUCINA,MANHATTAN,Italian,A,1559 2ND AVE 10028.0,40.774665999999996,-73.954402,3
SANDWICH BAR,QUEENS,Sandwiches,A,7132 MAIN ST 11367.0,40.7270167,-73.8222882,2
SANT AMBROEUS,MANHATTAN,Italian,A,259 WEST    4 STREET 10014.0,40.735425799999994,-74.003141,1
SANTA PANZA,BROOKLYN,Italian,A,1079 BROADWAY 11221.0,0.0,0.0,3
SANTA SALSA,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,234 STARR ST 11237.0,40.705586100000005,-73.9223421,2
SANTIAGO'S BEER GARDEN,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,2337 1ST AVE 10035.0,40.7985181,-73.9338581,2
SANTO DOMINGO RESTAURANT,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,862 NEW LOTS AVE 11208.0,40.6677721,-73.8789127,4
SAPPS,QUEENS,Japanese,Z,2726 JACKSON AVE 11101.0,41.215566700000004,-111.95357659999998,5
SARILING ATIN,QUEENS,Filipino,Z,8912 QUEENS BLVD 11373.0,40.7343164,-73.87453149999999,3
SATGURU SWEETS & CATERING,QUEENS,Indian,Z,13408 ROCKAWAY BOULEVARD 11420.0,40.674335,-73.8041439,4
SAUCE & BARREL,MANHATTAN,Italian,A,13-21 RECTOR ST 10006.0,40.7078844,-74.01408789999998,2
SAUCE PIZZERIA,MANHATTAN,Pizza,A,345 E 12TH ST 10003.0,40.7303033,-73.9839626,3
SAUVAGE,BROOKLYN,French,A,905 LORIMER ST 11222.0,40.723524100000006,-73.951948,2
SAZON COLOMBIA,QUEENS,Spanish,A,8926E ROOSEVELT AVE 11372.0,40.7482364,-73.87698739999998,3
SBARRO,BRONX,Pizza/Italian,A,200 BAYCHESTER AVE 10475.0,40.864299100000004,-73.82754759999999,3
SBARRO,QUEENS,American,A,9015 QUEENS BOULEVARD 11373.0,40.73451559999999,-73.8704985,2
SCOTTY'S DINER,MANHATTAN,American,Z,336 LEXINGTON AVENUE 10016.0,40.7497696,-73.97755140000001,5
SEA ISLAND SEA FOOD,BROOKLYN,Soul Food,A,611 SUTTER AVE 11207.0,40.66936159999999,-73.89647169999998,1
SEABORNE,BROOKLYN,American,A,228 VAN BRUNT ST 11231.0,40.68107639999999,-74.00882740000002,1
"SEATTLE COFFEE ROASTERS, PIER 79/ NY WATERWAY",MANHATTAN,American,A,PIER 79 W 38TH ST 10018.0,40.752351000000004,-73.98560959999999,2
SECTION 5 PIZZA,BRONX,American,Z,133 EINSTEIN LOOP 10475.0,40.8644746,-73.8224015,4
SELENA ROSA MEXICANA,MANHATTAN,Tex-Mex,Z,1712 2ND AVE 10128.0,40.779545899999995,-73.95019520000001,7
SENSAKANA,MANHATTAN,Asian,A,28 W 44TH ST 10036.0,40.7551651,-73.98164200000001,2
SERAFINA LUDLOW,MANHATTAN,Other,A,98 RIVINGTON ST 10002.0,40.7202045,-73.98843649999998,2
SERVICE BAR 6,QUEENS,American,A,11000 ROCKAWAY BOULEVARD 11420.0,40.671679499999996,-73.83345200000001,2
SHANGERILA RESTAURANT,BRONX,Japanese,Z,289395 BUHRE AVENUE nan,40.847355799999995,-73.83264790000001,4
SHANGHAI IMPRESSION,QUEENS,Chinese,A,13521A 37TH AVE 11354.0,40.7490621,-73.89086400000001,1
SHARMEL CATERERS,QUEENS,Jewish/Kosher,A,728 EMPIRE AVENUE 11691.0,40.6065258,-73.74411649999998,3
SHASHEMENE INT'L RESTAURANT,BROOKLYN,Caribbean,A,195 EAST   56 STREET 11203.0,40.652218700000006,-73.9244528,2
SHAXIAN DELICACIES,BROOKLYN,Chinese,A,811 49TH ST 11220.0,47.664110799999996,-122.34797340000001,3
SHEEPSHEAD BAY YACHT CLUB BAR,BROOKLYN,American,A,3076 EMMONS AVENUE 11235.0,40.5836298,-73.9363036,2
SHELL LANES,BROOKLYN,American,A,1 BOUCK COURT 11223.0,40.5890055,-73.9735905,2
SHERWOOD TO GO,MANHATTAN,American,A,930 3 AVENUE 10022.0,40.7595501,-73.9682991,4
SHOGUN SUSHI,QUEENS,Japanese,A,9516 QUEENS BLVD 11374.0,40.7304518,-73.8641088,2
SHUBERT THEATER,MANHATTAN,American,A,225 WEST 44 STREET 10036.0,40.7580922,-73.9871606,1
SHUN LEE,MANHATTAN,Chinese,Z,37 WEST   65 STREET 10023.0,40.772875299999995,-73.9812519,7
SI FISH & MORE,STATEN ISLAND,American,A,137 MONTGOMERY AVE 10301.0,40.638427899999996,-74.0777554,3
SIENA,BROOKLYN,Jewish/Kosher,A,533 KINGS HIGHWAY 11223.0,40.604639500000005,-73.9696969,1
SILVER SPOON DINER,QUEENS,American,Z,5821 JUNCTION BLVD 11373.0,40.7358719,-73.86514749999998,3
SIMCHA CORNER,QUEENS,Jewish/Kosher,A,7301 MAIN ST 11367.0,40.7246601,-73.8206506,2
SING FEI RESTAURANT,BRONX,Chinese,Z,263 E GUN HILL RD 10467.0,40.879902799999996,-73.87552480000001,3
SINGAS FAMOUS PIZZA,QUEENS,Pizza,A,4202 NORTHERN BLVD 11101.0,40.7521249,-73.92152800000001,4
SINIGUAL RESTAURANT,MANHATTAN,Mexican,A,150 East 42nd Street 10017.0,40.7506384,-73.97476499999998,3
SIX HAPPINESS,MANHATTAN,Chinese,Z,1413 2ND AVE 10021.0,40.770006,-73.957821,6
SKEWR KABOB KITCHEN,MANHATTAN,Mediterranean,Z,34 E 23RD ST 10010.0,40.7404397,-73.98757049999998,4
SKILLMAN'S  FAMOUS PIZZA & COFFEE SHOP,QUEENS,American,A,4606 SKILLMAN AVENUE 11104.0,40.7462944,-73.9177602,1
SKY CAFE,QUEENS,Indonesian,A,8620 WHITNEY AVE 11373.0,40.741902100000004,-73.87841519999998,2
SKY FOOD COURT(SKY MALL),QUEENS,Chinese,A,4024 COLLEGE POINT BOULEVARD 11354.0,40.7573044,-73.835146,2
SKY GARDEN AT SPA CASTLE,QUEENS,Korean,A,1111 131 STREET 11356.0,40.787459000000005,-73.836899,3
SKYLIGHT DINER,MANHATTAN,American,A,402 WEST   34 STREET 10001.0,40.7533794,-73.99679189999998,3
SLICE ASTORIA,QUEENS,Pizza,A,3708 30TH AVE 11103.0,40.76434649999999,-73.9164059,2
SLICK WILLIE,BROOKLYN,American,Z,179 MESEROLE AVE 11222.0,40.728444,-73.94931989999998,5
SMASHBURGER,BROOKLYN,American,A,80 DEKALB AVE 11201.0,40.6896378,-73.9800477,2
SMASHBURGER,MANHATTAN,American,A,10 W 33RD ST 10001.0,40.7479047,-73.9858954,2
SMILE TO GO,MANHATTAN,American,A,22 HOWARD STREET 10013.0,40.7194367,-74.0003614,3
SMILE TO GO,MANHATTAN,American,Z,23 LEXINGTON AVE 10010.0,40.7396083,-73.9844715,4
SMITH & WOLLENSKY,MANHATTAN,American,A,201 EAST 49th STREET 10017.0,40.754523299999995,-73.9692465,2
SMITH'S HELL'S KITCHEN BAR & RESTAURANT,MANHATTAN,American,Z,701 8TH AVE 10036.0,40.758762,-73.98899300000001,4
SNACKS-N-WHEELS/GREYHOUND FOOD SERVICE,MANHATTAN,American,A,625 8 AVENUE 10018.0,40.7567485,-73.9904181,1
SNOWFOX,MANHATTAN,Japanese,A,24 E 23RD ST 10010.0,40.7405123,-73.9865604,3
SOB's,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,200 VARICK STREET 10014.0,40.728124900000005,-74.0050091,2
SOCCER TAVERN,BROOKLYN,Irish,A,6004 8 AVENUE 11220.0,40.6354467,-74.0099176,3
SOCIETE GENERAL,MANHATTAN,American,A,245 PARK AVE 10167.0,40.7545475,-73.9745088,2
SOCIETY BILLARDS AND BAR,MANHATTAN,American,A,10 EAST   21 STREET 10010.0,40.739847600000004,-73.9902068,3
SOFIA PIZZA SHOPPE,MANHATTAN,Pizza,Z,989 1ST AVE 10022.0,40.756676,-73.96435100000001,2
SOFITEL NEW YORK,MANHATTAN,American,A,45 WEST 44 STREET 10036.0,40.7558585,-73.9817117,1
SOHO CAFE & GRILL,BROOKLYN,American,A,8312 5TH AVE 11209.0,40.6233791,-74.02536459999999,2
SOHO PARK,MANHATTAN,American,A,832 8TH AVE 10019.0,40.76234300000001,-73.98571299999998,3
SOL SIPS BITES AND BEVS,BROOKLYN,Vegetarian,A,203 WILSON AVE 11237.0,40.699107899999994,-73.9225488,3
SOLE DI CAPRI,MANHATTAN,Italian,A,165 CHURCH STREET 10007.0,40.7150781,-74.0075554,3
SOMTUM DER,MANHATTAN,Thai,Z,85 AVENUE A 10009.0,40.72525,-73.98444920000001,3
SONNIER & CASTLE FOOD,MANHATTAN,Continental,A,532 WEST   46 STREET 10036.0,40.76253870000001,-73.99505479999998,2
SONY HALL,MANHATTAN,American,A,235 W 46TH ST 10036.0,40.759588,-73.986998,3
SOSUA SEAFOOD,BRONX,Seafood,A,57 W 170TH ST 10452.0,40.84072570000001,-73.92082649999998,3
SOULFUL FOODS,BROOKLYN,Caribbean,A,2258 ATLANTIC AVE 11233.0,40.6761404,-73.91074499999998,3
SOUTH FIN GRILL/THE VANDERBILT,STATEN ISLAND,Italian,A,300 FATHER CAPODANNO BOULEVA nan,40.58904649999999,-74.06661070000001,2
SOUTH OF THE CLOUDS,MANHATTAN,Chinese,Z,16 W 8TH ST 10011.0,40.7325844,-73.9974629,4
SPAIN RESTAURANT & BAR,MANHATTAN,Spanish,Z,113 WEST   13 STREET 10011.0,40.737134399999995,-73.99792140000001,5
SPICY PIZZA,QUEENS,Pizza/Italian,A,4322 43RD AVE 11104.0,33.4968037,-112.15166210000001,1
SPIRIT OF NEW YORK,MANHATTAN,American,A,PIER 62 WEST 23 STREET - CHELSEA PIER 10014.0,40.7487193,-74.01020799999998,2
SPIRO'S CAFE & PIZZA,BROOKLYN,Spanish,A,942 4 AVENUE 11232.0,40.6547485,-74.0043628,3
SPOONS,BROOKLYN,Jewish/Kosher,A,2923 AVENUE J 11210.0,40.6270989,-73.9472098,4
SPOT DESSERT BAR,QUEENS,Caf̩/Coffee/Tea,A,3916 PRINCE ST 11354.0,40.7590973,-73.832247,1
SPREADS,MANHATTAN,American,A,441 PARK AVENUE SOUTH 10016.0,40.7443856,-73.9830819,3
SPRING FISH VILLAGE,QUEENS,Chinese,A,13621 41ST AVE 11355.0,40.758927299999996,-73.8287735,3
SPRINGHILL SUITES & FAIRFIELD INN & SUITES,MANHATTAN,American,A,338 W 36TH ST 10018.0,40.753963399999996,-73.99395809999999,2
SPRINKLE SPLASH BAKERY,MANHATTAN,Bakery,A,1590 PARK AVE 10029.0,40.798314899999994,-73.94391259999998,2
SPUNKY FISH N THINGS,BROOKLYN,American,A,1077-A RUTLAND RD nan,40.664161299999996,-73.92432079999998,2
SQUISH MARSHMALLOWS,MANHATTAN,Caf̩/Coffee/Tea,A,120 SAINT MARKS PL 10009.0,40.7268131,-73.984036,1
ST KILDA COFFEE,MANHATTAN,Caf̩/Coffee/Tea,A,328 W 44TH ST 10036.0,40.7589096,-73.99024419999998,3
STAR 99C PIZZA,MANHATTAN,Pizza,Z,156 DELANCEY ST 10002.0,40.7181468,-73.98604420000001,6
STAR RESTAURANT,BRONX,Spanish,A,1298 WESTCHESTER AVE 10459.0,40.8273765,-73.88625920000001,3
STARBUCKS,MANHATTAN,American,A,400 EAST 23RD STREET 10010.0,40.736534000000006,-73.978369,1
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,10 UNION SQUARE EAST 10003.0,40.7347832,-73.989535,3
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,1261 LEXINGTON AVENUE 10028.0,40.7786493,-73.9560319,1
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,3 PARK AVENUE 10016.0,40.7466308,-73.98069140000001,1
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,399 7TH AVE 10001.0,31.7755189,-84.4407516,2
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,55 BROAD ST 10004.0,40.7052927,-74.0108765,2
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,770 8 AVENUE 10036.0,40.760489,-73.987177,1
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,A,80 PINE STREET 10005.0,40.7059607,-74.0067715,1
STARBUCKS,MANHATTAN,Caf̩/Coffee/Tea,Z,125 PARK AVENUE 10017.0,40.75158649999999,-73.9774566,3
STARBUCKS,QUEENS,Caf̩/Coffee/Tea,A,10712 CONTINENTAL AVENUE 11375.0,40.720414,-73.84445600000001,1
STARBUCKS,STATEN ISLAND,Caf̩/Coffee/Tea,A,55B RICHMOND TER 10301.0,40.6441417,-74.07522569999998,1
STARBUCKS 379 DEKALB(DESIGN CENTER),BROOKLYN,Caf̩/Coffee/Tea,A,200 WILLOUGHBY AVE 11205.0,40.691469399999995,-73.96289509999998,1
STARBUCKS COFFEE,MANHATTAN,Caf̩/Coffee/Tea,A,120 WEST   56 STREET 10019.0,40.76390139999999,-73.9787173,2
STARBUCKS COFFEE #28171,MANHATTAN,American,Z,375 PEARL ST 10038.0,40.7109599,-74.0014202,2
STARBUCKS COFFEE COMPANY,MANHATTAN,Caf̩/Coffee/Tea,A,969 1ST AVE 10022.0,40.756046999999995,-73.964801,1
STARLIGHT GRILL RESTAURANT & SWEETS,QUEENS,Pakistani,Z,8002 ASTORIA BOULEVARD 11370.0,40.76505110000001,-73.8888522,8
STATEN ISLAND FUN PARK,STATEN ISLAND,American,A,215 SCHMIDTS LN 10314.0,40.6095315,-74.11993740000001,1
STATUS Q,BROOKLYN,American,A,8218 3RD AVE 11209.0,40.6259581,-74.0302647,1
STAX ICE CREAM,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",A,279 GRAND ST 10002.0,40.7176311,-73.9928051,2
STEINWAY COFFEE SHOP,QUEENS,American,A,3410 STEINWAY ST 11101.0,40.7565049,-73.92124890000001,3
STEPHEN SONDHEIM THEATRE,MANHATTAN,American,A,124 W 43RD ST 10036.0,40.75589040000001,-73.98494819999998,2
STEVE BREAKFAST AND COFFEE,QUEENS,American,A,15428 NORTHERN BLVD 11354.0,40.7642511,-73.81021489999998,3
STONE MILL,BRONX,American,A,2900 SOUTHERN BLVD 10458.0,40.86206019999999,-73.8804833,2
STOUT,MANHATTAN,American,A,60 E 41ST ST 10017.0,40.7517066,-73.97899919999998,2
STRAUSS BAKERY,BROOKLYN,Bakery,A,5115 13 AVENUE 11219.0,40.6333708,-73.99342490000001,4
STROMBOLI PIZZA,MANHATTAN,Pizza,Z,83 ST MARKS PLACE 10003.0,40.7278516,-73.98536740000002,4
STUDIO 9C,MANHATTAN,American,A,30 ROCKEFLLER PLAZA nan,40.7591205,-73.9795267,3
SUBWAY,BRONX,Sandwiches,A,193 W 237TH ST 10463.0,40.88442070000001,-73.9003398,3
SUBWAY,BRONX,Sandwiches,A,2383 WESTCHESTER AVENUE 10461.0,40.8370761,-73.8466653,3
SUBWAY,BRONX,Sandwiches,A,2432 GRAND CONCOURSE 10458.0,40.860521000000006,-73.89759670000001,2
SUBWAY,BRONX,Sandwiches,A,3422 JEROME AVE 10467.0,40.8810977,-73.8826681,2
SUBWAY,BRONX,Sandwiches/Salads/Mixed Buffet,A,200 BAYCHESTER AVE 10475.0,40.864299100000004,-73.82754759999999,3
SUBWAY,BRONX,Soups & Sandwiches,A,2173 WHITE PLAINS ROAD 10462.0,40.85574329999999,-73.86790620000001,1
SUBWAY,BROOKLYN,Sandwiches,A,1864 86TH ST 11214.0,40.6061387,-74.00128699999998,1
SUBWAY,BROOKLYN,Sandwiches,A,241 ROCKAWAY PARKWAY 11212.0,40.661408,-73.92014069999998,3
SUBWAY,BROOKLYN,Sandwiches,Z,391 JAY STREET 11201.0,43.1592286,-77.63059659999998,1
SUBWAY,MANHATTAN,Sandwiches,A,1885 3 AVENUE 10029.0,40.790288700000005,-73.9451897,3
SUBWAY,MANHATTAN,Sandwiches,A,300 W 135TH ST 10030.0,40.81632929999999,-73.94732509999999,3
SUBWAY,MANHATTAN,Sandwiches,A,37 7 AVENUE 10011.0,0.0,0.0,3
SUBWAY,MANHATTAN,Sandwiches,A,513 MAIN STREET 10044.0,0.0,0.0,2
SUBWAY,MANHATTAN,Sandwiches,A,7 E 14TH ST 10003.0,40.735814899999994,-73.9925155,2
SUBWAY,MANHATTAN,Sandwiches/Salads/Mixed Buffet,A,111 BROADWAY 10006.0,40.7085896,-74.01136149999998,2
SUBWAY,QUEENS,Sandwiches,A,14604 JAMAICA AVENUE 11435.0,40.701600299999996,-73.8087532,3
