Address,cities,lat,long,address_full
2906 36 AVENUE 11106.0,"29-06 36th Ave, Astoria, NY 11106, USA",40.7571292,-73.9312514,2906 36 AVENUE 11106.0
10 UNION SQUARE EAST 10003.0,"10 Union Square E, New York, NY 10003, USA",40.7347832,-73.989535,10 UNION SQUARE EAST 10003.0
304 CITY ISLAND AVE 10464.0,"304 City Island Ave, The Bronx, NY 10464, USA",40.8471662,-73.78629219999999,304 CITY ISLAND AVE 10464.0
4720 BELL BOULEVARD 11361.0,"47-20 Bell Blvd, Bayside, NY 11361, USA",40.7563105,-73.76778089999999,4720 BELL BOULEVARD 11361.0
180 SPRING STREET 10012.0,"180 Spring St, New York, NY 10012, USA",40.7247163,-74.0026239,180 SPRING STREET 10012.0
5115 13 AVENUE 11219.0,"5115 13th Ave, Brooklyn, NY 11219, USA",40.6333708,-73.9934249,5115 13 AVENUE 11219.0
287 AVENUE U 11223.0,"287 Avenue U, Brooklyn, NY 11223, USA",40.5970841,-73.9736594,287 AVENUE U 11223.0
8306 AUSTIN STREET 11415.0,"83-06 Austin St, Jamaica, NY 11415, USA",40.708951,-73.82961499999999,8306 AUSTIN STREET 11415.0
856 RIVER AVENUE 10451.0,"856 River Ave, The Bronx, NY 10451, USA",40.8272111,-73.9259015,856 RIVER AVENUE 10451.0
3415 14 AVENUE 11218.0,Error,0.0,0.0,3415 14 AVENUE 11218.0
28 EAST   63 STREET 10065.0,"28 E 63rd St, New York, NY 10065, USA",40.7657037,-73.96921449999999,28 EAST   63 STREET 10065.0
PIER 62 WEST 23 STREET - CHELSEA PIER 10014.0,"Hudson River Park at Pier 62 Between W 22nd and, W 23rd St, New York, NY 10011, United States",40.7487193,-74.01020799999999,PIER 62 WEST 23 STREET - CHELSEA PIER 10014.0
1404 3 AVENUE 10075.0,"1404 3rd Ave, New York, NY 10075, USA",40.7749099,-73.9571627,1404 3 AVENUE 10075.0
1170 CONEY ISLAND AVE 11230.0,"1170 Coney Island Ave, Brooklyn, NY 11230, USA",40.6289081,-73.9663357,1170 CONEY ISLAND AVE 11230.0
62 WEST 23 STREET - CHELSEA PIER nan,"62 W 23rd St, New York, NY 10010, USA",40.7424466,-73.9923898,62 WEST 23 STREET - CHELSEA PIER nan
625 8 AVENUE 10018.0,"625 8th Ave, New York, NY 10018, USA",40.7567485,-73.9904181,625 8 AVENUE 10018.0
10827 ASCAN AVENUE 11375.0,"10827 Ascan Ave, Forest Hills, NY 11375, USA",40.7181652,-73.8407043,10827 ASCAN AVENUE 11375.0
32 WATTS STREET 10013.0,"32 Watts St, New York, NY 10013, USA",40.7236469,-74.0043524,32 WATTS STREET 10013.0
706 AMSTERDAM AVENUE 10025.0,"706 Amsterdam Ave, New York, NY 10025, USA",40.793109,-73.9714858,706 AMSTERDAM AVENUE 10025.0
4110 102 STREET 11368.0,"41-10 102nd St, Flushing, NY 11368, USA",40.7481815,-73.8634962,4110 102 STREET 11368.0
21 EAST   62 STREET 10065.0,"21 E 62nd St, New York, NY 10065, USA",40.7657854,-73.9703126,21 EAST   62 STREET 10065.0
337 UTICA AVENUE 11213.0,"337 Utica Ave, Brooklyn, NY 11213, USA",40.6664446,-73.9311405,337 UTICA AVENUE 11213.0
20535 LINDEN BOULEVARD 11412.0,"20535 Linden Blvd, St. Albans, NY 11412, USA",40.696148,-73.7467769,20535 LINDEN BOULEVARD 11412.0
41 CITY ISLAND AVE 10464.0,"41 City Island Ave, The Bronx, NY 10464, USA",40.8389975,-73.7836556,41 CITY ISLAND AVE 10464.0
2953 WEBSTER AVENUE 10458.0,"2953 Webster Ave, The Bronx, NY 10458, USA",40.8677145,-73.883449,2953 WEBSTER AVENUE 10458.0
20 BATTERY PLACE 10004.0,"20 Battery Pl, New York, NY 10004, USA",40.7050439,-74.018137,20 BATTERY PLACE 10004.0
3114 BROADWAY 11106.0,"3114 Broadway, Astoria, NY 11103, USA",40.7616329,-73.92491319999999,3114 BROADWAY 11106.0
283 BLEECKER STREET 10014.0,"283 Bleecker St, New York, NY 10014, USA",40.7319933,-74.0031348,283 BLEECKER STREET 10014.0
6460 DRY HARBOR ROAD 11379.0,"6460 Dry Harbor Rd, Flushing, NY 11379, USA",40.7183643,-73.8727857,6460 DRY HARBOR ROAD 11379.0
916 CLARKSON AVENUE 11203.0,"916 Clarkson Ave, Brooklyn, NY 11203, USA",40.6566726,-73.9275346,916 CLARKSON AVENUE 11203.0
3076 EMMONS AVENUE 11235.0,"3076 Emmons Ave, Brooklyn, NY 11235, USA",40.5836298,-73.9363036,3076 EMMONS AVENUE 11235.0
23 WEST   39 STREET 10018.0,"23 W 39th St, New York, NY 10018, USA",40.752465,-73.983705,23 WEST   39 STREET 10018.0
2102 31 STREET 11105.0,"2102 31st Ave W, Seattle, WA 98199, USA",47.63783230000001,-122.3965875,2102 31 STREET 11105.0
10612 CONTINENTAL AVE 11375.0,"106-12 Continental Ave, Forest Hills, NY 11375, USA",40.7197547,-73.8448655,10612 CONTINENTAL AVE 11375.0
60 WEST   57 STREET 10019.0,"60 W 57th St, New York, NY 10019, USA",40.7640334,-73.9770219,60 WEST   57 STREET 10019.0
126 CROSBY STREET 10012.0,"126 Crosby St, New York, NY 10012, USA",40.7246035,-73.99657549999999,126 CROSBY STREET 10012.0
159 WEST   10 STREET 10014.0,"159 W 10th St, New York, NY 10014, USA",40.7345329,-74.0017116,159 WEST   10 STREET 10014.0
948 3 AVENUE 11232.0,"948 3rd Ave, Brooklyn, NY 11232, USA",40.655852,-74.0067615,948 3 AVENUE 11232.0
1495 1 AVENUE 10075.0,"1495 1st Avenue, New York, NY 10075, USA",40.77189,-73.953422,1495 1 AVENUE 10075.0
